season,week,home,win,clemson_points,opp,opp_points,opp_conference,opp_def_explosiveness,opp_def_fp_avg_pred_points,opp_def_fp_avg_start,opp_def_havoc_db,opp_def_havoc_7,opp_def_havoc_total,opp_def_line_yards,opp_def_open_field_yards,opp_def_pp_explosiveness,opp_def_pp_ppa,opp_def_pp_rate,opp_def_pp_success_rate,opp_def_points_per_opportunity,opp_def_power_success,opp_def_ppa,opp_def_rp_explosiveness,opp_def_rp_ppa,opp_def_rp_rate,opp_def_rp_success_rate,opp_def_second_level_yards,opp_def_stuff_rate,opp_def_success_rate,opp_def_total_ppa,opp_off_explosiveness,opp_off_fp_avg_pred_points,opp_off_fp_avg_start,opp_off_havoc_db,opp_off_havoc_7,opp_off_havoc_total,opp_off_line_yards,opp_off_open_field_yards,opp_off_pp_explosiveness,opp_off_pp_ppa,opp_off_pp_rate,opp_off_pp_success_rate,opp_off_points_per_opportunity,opp_off_power_success,opp_off_ppa,opp_off_rp_explosiveness,opp_off_rp_ppa,opp_off_rp_rate,opp_off_rp_success_rate,opp_off_second_level_yards,opp_off_stuff_rate,opp_off_success_rate,opp_off_total_ppa
2001,2,True,True,21,UCF,13,Big 12,1.125423987101144,-1.528,68.6,,,,2.335483870967742,0.7419354838709677,1.6952613884066678,0.2103666859400191,0.3383084577114428,0.35294117647058826,0.0,0.75,-0.05374896394330727,0.7231858214737154,-0.1748888871017843,0.6169154228855721,0.27419354838709675,0.6935483870967742,0.31451612903225806,0.2885572139303483,-10.803541752604762,0.9638264421096857,1.269,71.7,,,,0.9808219178082191,0.273972602739726,1.2192754700777508,0.07066240075094458,0.6038647342995169,0.4,0.0,0.625,-0.138355439665767,0.35561447075714964,-0.3684556116227121,0.3526570048309179,0.2876712328767123,0.4931506849315068,0.4246575342465753,0.34299516908212563,-28.63957601081377
2001,5,True,False,24,Virginia,26,ACC,0.9087944180888728,-1.588,67.6,,,,2.6560096153846153,0.6346153846153846,1.2161406678239268,0.22310004975022832,0.3997308209959623,0.4511784511784512,-0.059322033898305086,0.8095238095238095,0.027692304553791378,0.6734550040060314,-0.05914914384032875,0.5598923283983849,0.4206730769230769,0.9399038461538461,0.1778846153846154,0.4158815612382234,20.575382283466993,0.9370222458501318,1.624,66.5,,,,2.520779220779221,0.698051948051948,1.0182217563435185,0.053660682474588925,0.5255681818181818,0.41621621621621624,-0.05982905982905983,0.7058823529411765,-0.03483505623187206,0.8282855100589879,-0.049301099599258456,0.4375,0.37337662337662336,0.9772727272727273,0.275974025974026,0.3821022727272727,-24.52387958723793
2001,6,False,True,47,Georgia Tech,44,ACC,1.062792921368123,-1.29,71.7,,,,2.262409638554217,0.6867469879518072,1.3424731866126696,0.10274816208994102,0.4645006016847172,0.36528497409326427,-0.10071942446043165,0.6346153846153846,-0.0122668186147914,0.8132048365612808,-0.06701276112891694,0.4993983152827918,0.38072289156626504,0.9301204819277108,0.28674698795180725,0.35980746089049337,-10.193726268891654,1.0166714929861105,1.754,65.5,,,,2.3,0.6414253897550112,1.3019594050243468,0.24309403345845898,0.45556805399325084,0.44938271604938274,-0.050724637681159424,0.5735294117647058,-0.014612972469264431,0.6795130514863766,-0.18068436332839244,0.5050618672665916,0.3429844097995546,0.7371937639198218,0.2583518930957684,0.3779527559055118,-12.99093252517608
2001,8,False,True,45,NC State,37,ACC,0.9909227207259879,-1.528,68.0,,,,2.2962264150943397,0.6320754716981132,1.2849504142134103,0.08581062387444688,0.4239401496259352,0.40588235294117647,-0.05263157894736842,0.6415094339622641,-0.10162235853558156,0.7464900598749981,-0.1803091684200994,0.5286783042394015,0.3915094339622642,0.9316037735849056,0.29009433962264153,0.3790523690773067,-81.50113154553641,0.9556030261144812,1.655,67.0,,,,2.4380664652567976,0.5589123867069486,1.21135326634816,0.16068037174762512,0.5238095238095238,0.4090909090909091,-0.22950819672131148,0.7142857142857143,0.012487280550535738,0.6417277312822389,-0.1073863137019411,0.43783068783068785,0.3987915407854985,0.9093655589123867,0.25075528700906347,0.3888888888888889,9.440384096205017
2001,9,True,False,3,North Carolina,38,ACC,0.9805993869611676,-1.493,68.7,,,,2.370262390670554,0.6180758017492711,1.2899847892691192,0.05307498729585536,0.4720229555236729,0.3586626139817629,0.0,0.5454545454545454,-0.07679802367793245,0.6685696649753702,-0.15708591124060467,0.4921090387374462,0.34110787172011664,0.8688046647230321,0.2886297376093295,0.33715925394548063,-53.52822250351892,1.097080536103308,1.755,65.7,,,,1.9691056910569107,0.7994579945799458,1.428376986135952,0.1269471043186203,0.41605839416058393,0.39649122807017545,-0.0660377358490566,0.6,-0.07729773476808059,0.7743520977094394,-0.16446168390334778,0.5386861313868613,0.3143631436314363,0.8373983739837398,0.3170731707317073,0.3343065693430657,-52.94894831613521
2001,10,False,True,21,Wake Forest,14,ACC,0.9029286930406905,-1.514,68.0,,,,2.49873417721519,0.6025316455696202,1.1487968196577958,0.1870151398046607,0.43026315789473685,0.44648318042813456,0.0,0.6382978723404256,0.0007606704895924113,0.6728213437708356,-0.07352765526356352,0.5197368421052632,0.3949367088607595,0.8354430379746836,0.2683544303797468,0.3973684210526316,0.5781095720902326,0.9104689618543437,1.648,66.7,,,,2.635221238938053,0.5699115044247788,1.2643517826201587,0.06591820726540944,0.2947494033412888,0.42105263157894735,0.0,0.6176470588235294,-0.04424828712317954,0.7454294400622147,-0.049455250951582805,0.6742243436754176,0.39469026548672564,0.9061946902654867,0.2336283185840708,0.3902147971360382,-37.08006460922445
2001,11,True,False,27,Florida State,41,ACC,1.1139197266846763,-1.474,69.4,,,,1.725916230366492,0.5261780104712042,1.4179525061315486,0.14802522975512392,0.4745762711864407,0.39285714285714285,-0.10071942446043165,0.65,-0.04633680896257881,0.7604507229374994,-0.16215649480048974,0.4980443285528031,0.3219895287958115,0.8141361256544503,0.32722513089005234,0.3468057366362451,-35.54033247429795,1.0330389998568104,1.508,68.7,,,,2.3240409207161123,0.8107416879795396,1.3338925418958796,0.2276957146832668,0.41192411924119243,0.45723684210526316,-0.050724637681159424,0.6956521739130435,-0.018589924176173486,0.7485584396974184,-0.09604700658821401,0.5298102981029811,0.37595907928388744,1.020460358056266,0.27621483375959077,0.3875338753387534,-13.719364042016032
2001,12,False,False,20,Maryland,37,Big Ten,1.0279558182555264,-1.505,68.3,,,,1.7831649831649832,0.9158249158249159,1.2644672359650495,0.1300652160032406,0.5179640718562875,0.430635838150289,-0.05982905982905983,0.7391304347826086,-0.07425956469445275,0.6955010895883666,-0.2133697354371362,0.44461077844311375,0.3569023569023569,0.7777777777777778,0.30303030303030304,0.38173652694610777,-49.60538921589443,0.9748066321686525,1.456,69.1,,,,2.710382513661202,0.5737704918032787,1.3857710198198891,0.09723455906132453,0.43171806167400884,0.38095238095238093,-0.12173913043478261,0.6842105263157895,-0.010871889970265874,0.663806555027176,-0.05188615984536533,0.5374449339207048,0.40437158469945356,0.855191256830601,0.21584699453551912,0.38179148311306904,-7.403757069751061
2001,13,False,False,15,South Carolina,20,SEC,0.9940580008757685,-1.516,67.8,,,,2.794986807387863,0.6728232189973615,1.3142362779439056,0.1479090450476284,0.43204577968526464,0.41721854304635764,-0.06363636363636363,0.62,-0.0018938890192435685,0.7017213131179041,-0.06386631578041851,0.542203147353362,0.3641160949868074,0.7704485488126649,0.19525065963060687,0.3776824034334764,-1.3238284244512544,0.996071276138962,1.6,67.9,,,,2.8828402366863903,1.0059171597633136,1.3167933640776235,0.02412164322813654,0.40887480190174325,0.35271317829457366,0.0,0.6578947368421053,-0.02975885681370063,0.7830368965592671,0.006235253028097693,0.5356576862123613,0.40532544378698226,1.0621301775147929,0.2455621301775148,0.3613312202852615,-18.777838649445098
2001,15,True,True,59,Duke,31,ACC,0.9986689786086296,-1.972,62.7,,,,2.7092039800995025,1.345771144278607,1.2764165936656853,0.0955311700921908,0.3883357041251778,0.3772893772893773,-0.1111111111111111,0.6274509803921569,-0.01769501109943388,0.8252871340578615,-0.0213465350336996,0.5718349928876245,0.41044776119402987,1.0298507462686568,0.236318407960199,0.3812233285917496,-12.439592802902018,0.9687805876307292,1.342,70.5,,,,2.148753462603878,0.39058171745152354,1.3683219962975495,0.020750982487346675,0.4842105263157895,0.3641304347826087,0.0,0.6176470588235294,-0.14150876794424258,0.5721987449540336,-0.21413850168597415,0.475,0.3739612188365651,0.7617728531855956,0.2631578947368421,0.3539473684210526,-107.54666363762435
